gene,mu_cancer,n_cancer,mu_normal,n_normal,delta,rank_delta_desc
CX3CL1,-87.2469264142195,367,-188.4223798705057,367,101.17545345628619,341
UQCRH,-79.62042822128886,1964,-180.76215316710307,1964,101.1417249458142,342
DIP2C,-80.76232332171816,165,-181.88622972892992,165,101.12390640721176,343
SLC17A7,-103.68980026245117,4,-204.72144317626953,4,101.03164291381836,344
TTC9C,-81.08024862748158,316,-182.0817014476921,316,101.00145282021052,345
TEKT4,-101.20312940965005,109,-202.10116409161768,109,100.89803468196763,346
LDB3,-82.84055709838867,8,-183.65467643737793,8,100.81411933898926,347
SYT8,-93.07213324394779,276,-193.86864128665647,276,100.79650804270868,348
SFXN5,-165.68670021615378,123,-266.26380721921845,123,100.57710700306467,349
NXPH4,-75.84774453299386,21,-176.4209231422061,21,100.57317860921225,350
SDF4,-151.50091449387995,1004,-251.90027875254353,1004,100.39936425866358,351
LEFTY2,-107.7872543334961,2,-207.77178192138672,2,99.98452758789062,352
DPYSL4,-81.72095489501953,1,-181.6380920410156,1,99.91713714599607,353
TRIM65,-75.84043213980539,140,-175.74134652273995,140,99.90091438293456,354
SERPINF2,-211.56639945152963,202,-311.4533782052522,202,99.88697875372256,355
COL1A1,-75.84508314507497,458,-175.67064916619046,458,99.82556602111549,356
MAP4K2,-83.27779095458985,125,-183.02581604003908,125,99.74802508544923,357
RGPD8,-74.76793162027995,3,-174.43879191080728,3,99.67086029052733,358
SEMA7A,-82.22856403219289,29,-181.77003163304823,29,99.54146760085534,359
GPR153,-60.02943116647226,54,-159.5405589916088,54,99.51112782513655,360
SLC6A12,-152.52084350585938,7,-251.95631408691406,7,99.43547058105469,361
