gene,count_cancer,count_normal,S(gene),count_total
ZNF628,74,56,-2.770308773,130
ZNF223,14,9,-2.807326939,23
RIN3,92,58,-2.823686778,150
SLAMF1,4,2,-2.878582001,6
RNFT2,19,13,-2.881104469,32
CBL,95,52,-2.90331206,147
GALNT6,115,56,-2.947795087,171
ZDHHC13,158,111,-2.983284621,269
POP4,271,195,-3.078225033,466
HIF3A,42,14,-3.084950992,56
KCTD13,78,47,-3.162908081,125
MIR3179-3,3,2,-3.231355286,5
GGA3,137,83,-3.243779789,220
BIRC5,50,13,-3.260753268,63
FANCI,25,11,-3.306412379,36
GINS2,49,18,-3.31346324,67
E2F6,127,71,-3.321156068,198
C17orf80,77,45,-3.346342306,122
SPTBN4,6,4,-3.358827209,10
ABTB2,41,13,-3.431786149,54
SLC1A7,48,1,-3.441629215,49
TEAD4,36,26,-3.471850734,62
NET1,504,376,-3.483500411,880
FUT3,148,67,-3.492387816,215
TM9SF1,56,35,-3.507228013,91
SDF2,528,343,-3.528857392,871
RRM1,162,122,-3.552065728,284
FAM210A,95,66,-3.571027768,161
MTHFD2,220,148,-3.58252884,368
DAPK3,228,163,-3.591113722,391
ZNF669,56,28,-3.67492812,84
PLA2R1,29,17,-3.678742782,46
PROSER2,125,86,-3.69050439,211
DPP9,213,130,-3.776045163,343
DUSP10,221,128,-3.79406535,349
CDYL2,24,14,-3.799841228,38
PRKCA,224,139,-3.808671494,363
CCER2,8,5,-3.828288739,13
MAPT,38,22,-3.834877014,60
TOMM40L,47,26,-3.889231434,73
FKBP7,85,30,-3.889711131,115
NAGPA,67,50,-3.923130459,117
HOXB7,93,3,-3.995709658,96
PRR14,201,150,-4.007506911,351
DDX52,248,174,-4.054862307,422
MTIF2,165,126,-4.087992783,291
ARF6,582,447,-4.092115237,1029
EXO5,28,10,-4.094585519,38
THBS1,125,71,-4.111782463,196
RBM34,36,22,-4.126132636,58
HELLS,81,41,-4.203831219,122
DISC1,19,6,-4.212416382,25
MMP25,17,6,-4.228480298,23
COL13A1,47,1,-4.238269965,48
C5AR2,12,9,-4.273070926,21
SHMT2,187,112,-4.389888878,299
MED19,293,216,-4.444884175,509
GH1,2,1,-4.457982381,3
KDM4B,172,130,-4.466229622,302
TARBP1,198,134,-4.483301347,332
CDC20,27,9,-4.578033235,36
TIMELESS,53,26,-4.587599163,79
ICAM2,122,57,-4.68091319,179
NOL11,181,85,-4.680978947,266
DARS2,38,28,-4.685639006,66
ZNF85,24,11,-4.708306013,35
DDB2,174,127,-4.711233741,301
LINC00638,8,5,-4.722094022,13
ZNF567,83,56,-4.724052704,139
TRAF7,262,141,-4.746358621,403
WDR89,67,50,-4.793437012,117
TSR1,140,97,-4.806079816,237
ZNF585A,38,24,-4.890197016,62
NLE1,106,28,-4.899598933,134
EPB42,18,12,-4.940072123,30
FAM222A,9,2,-5.017502525,11
ADAMTS17,5,2,-5.041740417,7
RGS9BP,7,1,-5.094500542,8
SALL2,62,39,-5.096692151,101
PROC,19,3,-5.164448478,22
ADO,96,67,-5.177229173,163
ANKRD36B,82,57,-5.19039198,139
ORC1,11,2,-5.226022574,13
RNF40,205,156,-5.311702084,361
TECPR2,77,51,-5.3410182,128
ZNF260,74,39,-5.341703769,113
GNPNAT1,136,81,-5.347052262,217
GLRX2,177,106,-5.373004226,283
E2F8,7,5,-5.388112386,12
OAS3,180,51,-5.414529148,231
RNF26,189,116,-5.448864146,305
PANX1,81,54,-5.471997918,135
DUSP12,160,104,-5.477776845,264
FAM124A,18,12,-5.482366689,30
TOP2A,84,20,-5.501786232,104
SAMD13,14,6,-5.543212891,20
PATL1,147,94,-5.569303426,241
SLC26A11,123,88,-5.630586995,211
GLMP,279,164,-5.650649973,443
PITPNM2,62,47,-5.659709195,109
AAGAB,144,105,-5.728951849,249
VPS72,273,176,-5.729428094,449
ERCC2,88,49,-5.763663856,137
TUBG1,233,96,-5.767026397,329
KLK7,11,1,-5.777239482,12
DHRS11,133,45,-5.789278266,178
PIF1,4,3,-5.816084726,7
ZNF174,40,23,-5.908209422,63
ERCC3,157,118,-5.928239774,275
KLHL25,23,14,-5.929532232,37
GUCY1A2,4,3,-5.958136422,7
LINC01550,124,39,-5.990820949,163
DAND5,27,17,-6.063977155,44
PGM2L1,304,183,-6.100427224,487
NOP9,131,74,-6.147316314,205
NDRG4,14,3,-6.185179318,17
BMF,99,45,-6.196681288,144
DFFA,298,184,-6.200484288,482
RPEL1,4,2,-6.205924988,6
KRT81,54,3,-6.286312839,57
CDR2,120,65,-6.291345916,185
MAP10,17,5,-6.330021251,22
BRCA1,51,24,-6.345085958,75
APAF1,93,62,-6.354181843,155
SLC30A1,186,107,-6.404822808,293
BUB1B,7,2,-6.407718235,9
LGALS9,400,125,-6.422100074,525
RNF220,277,197,-6.430826775,474
ZNF493,150,103,-6.453258137,253
WDHD1,38,13,-6.510073643,51
SLC41A2,127,70,-6.638235993,197
ZNF473,35,23,-6.639153513,58
R3HCC1L,81,57,-6.662199656,138
SMOC1,30,6,-6.794745763,36
SMG9,123,62,-6.82303308,185
ZNF780A,120,61,-6.934936523,181
TACR2,15,3,-6.960586124,18
CALHM2,18,12,-6.966821035,30
GJB3,41,10,-6.969748254,51
MAX,349,258,-6.989189651,607
LYSMD4,32,22,-6.99132778,54
ZNF213,46,25,-7.045073603,71
FAM168A,85,64,-7.048816937,149
GPR176,6,3,-7.061449687,9
BORCS5,71,52,-7.085167582,123
TIGD7,16,9,-7.091549072,25
CDCA4,113,34,-7.186216393,147
CGN,276,201,-7.193992103,477
CENPN,58,31,-7.341236843,89
TUBG2,97,40,-7.372032722,137
IQGAP3,11,4,-7.405406698,15
ZNF829,10,6,-7.427047729,16
OSR1,54,8,-7.436411335,62
FAM78B,2,1,-7.459213257,3
METTL17,148,101,-7.519966187,249
AP3M1,146,97,-7.557631316,243
CBX2,36,6,-7.589570908,42
ZFYVE1,77,40,-7.629775675,117
CCDC90B,244,135,-7.752182087,379
GHDC,148,101,-7.865242801,249
IGDCC4,4,1,-7.87208252,5
TXNDC16,46,34,-7.904664516,80
GGACT,64,43,-7.92210545,107
CLIP4,156,77,-7.923019638,233
LINC00460,8,1,-8.130217658,9
AP2A1,188,140,-8.176523139,328
OAF,34,24,-8.268411439,58
GALNT18,112,81,-8.27163803,193
HSD17B2,41,20,-8.320786648,61
ILDR2,4,3,-8.345454625,7
SIX4,111,66,-8.377838609,177
RNF165,11,4,-8.384117635,15
FLRT2,6,1,-8.389476231,7
ZNF431,208,82,-8.397371121,290
BICD1,59,16,-8.401898702,75
PLA2G4C,24,11,-8.420494298,35
FOXD2-AS1,18,7,-8.432447205,25
TUBD1,114,72,-8.457974916,186
CCNB2,40,4,-8.4589438,44
TET1,16,7,-8.488160175,23
NIN,98,74,-8.502151267,172
EDRF1,62,46,-8.525593157,108
ARL5B,338,239,-8.539339697,577
MTMR11,57,26,-8.560263301,83
LRP4,13,3,-8.580133438,16
ZNF714,85,46,-8.669647683,131
NCAPD3,80,49,-8.753030526,129
STK38L,101,65,-8.768073116,166
FAS,130,80,-8.778844488,210
OAS2,147,46,-8.899379869,193
PRELID3A,15,11,-8.919010162,26
EDEM3,201,146,-8.930054151,347
BCL2L15,137,28,-9.016291902,165
KNTC1,31,13,-9.04972692,44
KCTD2,146,72,-9.062095922,218
SUV39H2,30,18,-9.081668854,48
LIG3,121,86,-9.121825877,207
LPAR5,7,1,-9.129814148,8
